Date,BCE
2022-11-25,48.029998779296875
2022-11-28,47.459999084472656
2022-11-29,47.11000061035156
2022-11-30,47.63999938964844
2022-12-01,47.540000915527344
2022-12-02,47.27000045776367
2022-12-05,47.060001373291016
2022-12-06,46.689998626708984
2022-12-07,46.619998931884766
2022-12-08,46.65999984741211
2022-12-09,46.400001525878906
2022-12-12,46.36000061035156
2022-12-13,46.540000915527344
2022-12-14,45.54999923706055
2022-12-15,44.43000030517578
2022-12-16,44.130001068115234
2022-12-19,43.709999084472656
2022-12-20,43.790000915527344
2022-12-21,44.040000915527344
2022-12-22,43.880001068115234
2022-12-23,44.15999984741211
2022-12-27,44.2599983215332
2022-12-28,43.38999938964844
2022-12-29,44.119998931884766
2022-12-30,43.95000076293945
2023-01-03,44.060001373291016
2023-01-04,44.93000030517578
