Date,HRL
2022-11-25,49.40999984741211
2022-11-28,49.11000061035156
2022-11-29,48.189998626708984
2022-11-30,47.0
2022-12-01,47.59000015258789
2022-12-02,47.63999938964844
2022-12-05,47.189998626708984
2022-12-06,46.84000015258789
2022-12-07,47.619998931884766
2022-12-08,47.650001525878906
2022-12-09,47.02000045776367
2022-12-12,47.18000030517578
2022-12-13,46.65999984741211
2022-12-14,46.5099983215332
2022-12-15,45.689998626708984
2022-12-16,45.65999984741211
2022-12-19,45.4900016784668
2022-12-20,45.2400016784668
2022-12-21,45.40999984741211
2022-12-22,45.40999984741211
2022-12-23,45.630001068115234
2022-12-27,45.84000015258789
2022-12-28,45.369998931884766
2022-12-29,45.5099983215332
2022-12-30,45.54999923706055
2023-01-03,45.75
2023-01-04,45.88999938964844
