Date,HUBB
2022-11-29,249.55999755859375
2022-11-30,254.05999755859375
2022-12-01,252.3300018310547
2022-12-02,249.8800048828125
2022-12-05,246.25999450683594
2022-12-06,245.4199981689453
2022-12-07,246.77999877929688
2022-12-08,250.9199981689453
2022-12-09,250.10000610351562
2022-12-12,255.10000610351562
2022-12-13,255.7899932861328
2022-12-14,248.86000061035156
2022-12-15,241.13999938964844
2022-12-16,232.67999267578125
2022-12-19,236.77999877929688
2022-12-20,235.9499969482422
2022-12-21,239.5399932861328
2022-12-22,234.74000549316406
2022-12-23,235.72000122070312
2022-12-27,236.92999267578125
2022-12-28,234.5
2022-12-29,235.33999633789062
2022-12-30,234.67999267578125
2023-01-03,234.49000549316406
2023-01-04,229.3000030517578
2023-01-05,224.42999267578125
2023-01-06,228.8699951171875
