Date,NSC
2022-11-25,252.32000732421875
2022-11-28,248.5500030517578
2022-11-29,253.36000061035156
2022-11-30,256.5
2022-12-01,256.3599853515625
2022-12-02,254.07000732421875
2022-12-05,247.30999755859375
2022-12-06,242.5500030517578
2022-12-07,241.5500030517578
2022-12-08,245.6699981689453
2022-12-09,244.0500030517578
2022-12-12,253.0500030517578
2022-12-13,257.92999267578125
2022-12-14,258.4200134277344
2022-12-15,252.2899932861328
2022-12-16,250.60000610351562
2022-12-19,247.0
2022-12-20,242.9199981689453
2022-12-21,246.6999969482422
2022-12-22,245.4499969482422
2022-12-23,247.5
2022-12-27,249.52000427246094
2022-12-28,245.7899932861328
2022-12-29,248.2100067138672
2022-12-30,246.4199981689453
2023-01-03,247.6999969482422
2023-01-04,250.89999389648438
