Date,WCN
2022-11-28,142.14999389648438
2022-11-29,140.82000732421875
2022-11-30,144.5
2022-12-01,143.9499969482422
2022-12-02,145.4499969482422
2022-12-05,143.0500030517578
2022-12-06,140.9199981689453
2022-12-07,140.36000061035156
2022-12-08,140.52999877929688
2022-12-09,139.94000244140625
2022-12-12,140.52000427246094
2022-12-13,140.72999572753906
2022-12-14,140.47999572753906
2022-12-15,137.3300018310547
2022-12-16,134.5
2022-12-19,133.30999755859375
2022-12-20,132.66000366210938
2022-12-21,133.9600067138672
2022-12-22,132.14999389648438
2022-12-23,133.3699951171875
2022-12-27,133.8800048828125
2022-12-28,132.4600067138672
2022-12-29,133.50999450683594
2022-12-30,132.55999755859375
2023-01-03,131.7100067138672
2023-01-04,132.42999267578125
2023-01-05,128.61000061035156
2023-01-06,132.80999755859375
