Date,EC
2022-11-23,10.25
2022-11-25,10.430000305175781
2022-11-28,9.960000038146973
2022-11-29,10.359999656677246
2022-11-30,9.869999885559082
2022-12-01,9.649999618530273
2022-12-02,9.65999984741211
2022-12-05,9.180000305175781
2022-12-06,9.270000457763672
2022-12-07,9.279999732971191
2022-12-08,9.279999732971191
2022-12-09,9.09000015258789
2022-12-12,9.130000114440918
2022-12-13,9.399999618530273
2022-12-14,9.170000076293945
2022-12-15,9.050000190734863
2022-12-16,8.9399995803833
2022-12-19,9.180000305175781
2022-12-20,9.420000076293945
2022-12-21,9.630000114440918
2022-12-22,9.569999694824219
2022-12-23,10.029999732971191
2022-12-27,10.199999809265137
2022-12-28,9.949999809265137
2022-12-29,10.020000457763672
2022-12-30,10.470000267028809
2023-01-03,9.899999618530273
