Date,GFL
2022-11-28,28.309999465942383
2022-11-29,28.15999984741211
2022-11-30,28.969999313354492
2022-12-01,29.5
2022-12-02,29.469999313354492
2022-12-05,28.670000076293945
2022-12-06,28.079999923706055
2022-12-07,27.889999389648438
2022-12-08,28.329999923706055
2022-12-09,28.170000076293945
2022-12-12,28.489999771118164
2022-12-13,28.84000015258789
2022-12-14,29.010000228881836
2022-12-15,28.739999771118164
2022-12-16,28.309999465942383
2022-12-19,27.989999771118164
2022-12-20,28.0
2022-12-21,28.219999313354492
2022-12-22,28.010000228881836
2022-12-23,28.219999313354492
2022-12-27,28.579999923706055
2022-12-28,28.6200008392334
2022-12-29,29.530000686645508
2022-12-30,29.229999542236328
2023-01-03,29.360000610351562
2023-01-04,30.3799991607666
2023-01-05,30.3799991607666
