Date,BURL
2022-11-30,195.67999267578125
2022-12-01,194.61000061035156
2022-12-02,200.2100067138672
2022-12-05,200.25999450683594
2022-12-06,199.64999389648438
2022-12-07,198.5
2022-12-08,198.91000366210938
2022-12-09,194.9199981689453
2022-12-12,195.5500030517578
2022-12-13,196.6699981689453
2022-12-14,196.1699981689453
2022-12-15,191.44000244140625
2022-12-16,185.8000030517578
2022-12-19,187.63999938964844
2022-12-20,188.94000244140625
2022-12-21,192.83999633789062
2022-12-22,193.0500030517578
2022-12-23,200.33999633789062
2022-12-27,204.89999389648438
2022-12-28,203.1300048828125
2022-12-29,205.8300018310547
2022-12-30,202.75999450683594
2023-01-03,206.16000366210938
2023-01-04,216.27000427246094
2023-01-05,220.74000549316406
2023-01-06,223.91000366210938
