Date,CI
2022-11-28,319.510009765625
2022-11-29,320.70001220703125
2022-11-30,328.8900146484375
2022-12-01,323.45001220703125
2022-12-02,327.20001220703125
2022-12-05,327.3900146484375
2022-12-06,329.6400146484375
2022-12-07,332.19000244140625
2022-12-08,333.5
2022-12-09,332.1199951171875
2022-12-12,339.29998779296875
2022-12-13,330.25
2022-12-14,334.67999267578125
2022-12-15,331.45001220703125
2022-12-16,327.2900085449219
2022-12-19,330.7799987792969
2022-12-20,329.5400085449219
2022-12-21,333.1600036621094
2022-12-22,333.2799987792969
2022-12-23,334.30999755859375
2022-12-27,334.1000061035156
2022-12-28,331.8500061035156
2022-12-29,330.7200012207031
2022-12-30,331.3399963378906
2023-01-03,321.4800109863281
2023-01-04,310.29998779296875
2023-01-05,304.19000244140625
