Date,AVB
2022-11-25,170.05999755859375
2022-11-28,168.07000732421875
2022-11-29,170.7899932861328
2022-11-30,174.89999389648438
2022-12-01,174.17999267578125
2022-12-02,172.57000732421875
2022-12-05,170.3000030517578
2022-12-06,166.88999938964844
2022-12-07,167.97000122070312
2022-12-08,169.60000610351562
2022-12-09,169.5800018310547
2022-12-12,171.5500030517578
2022-12-13,173.39999389648438
2022-12-14,172.0800018310547
2022-12-15,168.7899932861328
2022-12-16,165.0
2022-12-19,162.22000122070312
2022-12-20,161.2100067138672
2022-12-21,162.3699951171875
2022-12-22,161.85000610351562
2022-12-23,163.02999877929688
2022-12-27,162.8000030517578
2022-12-28,161.0800018310547
2022-12-29,162.64999389648438
2022-12-30,161.52000427246094
2023-01-03,161.5
2023-01-04,164.32000732421875
