Date,AXP
2022-11-25,154.14999389648438
2022-11-28,150.8699951171875
2022-11-29,154.4199981689453
2022-11-30,157.58999633789062
2022-12-01,157.5
2022-12-02,156.75
2022-12-05,156.0800018310547
2022-12-06,154.6999969482422
2022-12-07,154.77000427246094
2022-12-08,154.1199951171875
2022-12-09,153.89999389648438
2022-12-12,157.30999755859375
2022-12-13,157.52000427246094
2022-12-14,154.11000061035156
2022-12-15,150.22000122070312
2022-12-16,146.3000030517578
2022-12-19,145.00999450683594
2022-12-20,145.6999969482422
2022-12-21,147.10000610351562
2022-12-22,145.30999755859375
2022-12-23,147.02000427246094
2022-12-27,146.38999938964844
2022-12-28,144.00999450683594
2022-12-29,147.32000732421875
2022-12-30,147.75
2023-01-03,147.1199951171875
2023-01-04,150.5399932861328
2023-01-05,146.42999267578125
