Date,FI
2022-11-23,102.08000183105469
2022-11-25,102.48999786376953
2022-11-28,101.76000213623047
2022-11-29,101.5199966430664
2022-11-30,104.36000061035156
2022-12-01,105.02999877929688
2022-12-02,105.45999908447266
2022-12-05,102.19000244140625
2022-12-06,100.3499984741211
2022-12-07,100.48999786376953
2022-12-08,101.45999908447266
2022-12-09,100.63999938964844
2022-12-12,102.47000122070312
2022-12-13,101.55999755859375
2022-12-14,101.91000366210938
2022-12-15,98.47000122070312
2022-12-16,98.58000183105469
2022-12-19,98.66999816894531
2022-12-20,99.55999755859375
2022-12-21,101.13999938964844
2022-12-22,99.54000091552734
2022-12-23,100.45999908447266
2022-12-27,100.81999969482422
2022-12-28,99.91000366210938
2022-12-29,101.5
2022-12-30,101.06999969482422
2023-01-03,101.20999908447266
