Date,YPF
2022-11-23,7.659999847412109
2022-11-25,8.220000267028809
2022-11-28,8.279999732971191
2022-11-29,8.600000381469727
2022-11-30,8.390000343322754
2022-12-01,8.380000114440918
2022-12-02,8.260000228881836
2022-12-05,7.78000020980835
2022-12-06,7.650000095367432
2022-12-07,7.78000020980835
2022-12-08,7.400000095367432
2022-12-09,7.380000114440918
2022-12-12,7.489999771118164
2022-12-13,7.510000228881836
2022-12-14,7.389999866485596
2022-12-15,7.46999979019165
2022-12-16,7.46999979019165
2022-12-19,7.940000057220459
2022-12-20,8.470000267028809
2022-12-21,8.680000305175781
2022-12-22,8.859999656677246
2022-12-23,9.09000015258789
2022-12-27,8.84000015258789
2022-12-28,9.09000015258789
2022-12-29,9.050000190734863
2022-12-30,9.1899995803833
2023-01-03,8.710000038146973
