Date,CMS
2022-11-25,61.2599983215332
2022-11-28,60.79999923706055
2022-11-29,60.20000076293945
2022-11-30,61.06999969482422
2022-12-01,61.40999984741211
2022-12-02,60.52000045776367
2022-12-05,59.93000030517578
2022-12-06,61.040000915527344
2022-12-07,61.130001068115234
2022-12-08,62.0
2022-12-09,62.220001220703125
2022-12-12,63.900001525878906
2022-12-13,64.16000366210938
2022-12-14,63.7599983215332
2022-12-15,63.15999984741211
2022-12-16,61.90999984741211
2022-12-19,61.58000183105469
2022-12-20,61.779998779296875
2022-12-21,62.65999984741211
2022-12-22,62.56999969482422
2022-12-23,63.619998931884766
2022-12-27,64.30999755859375
2022-12-28,63.630001068115234
2022-12-29,64.18000030517578
2022-12-30,63.33000183105469
2023-01-03,63.72999954223633
2023-01-04,64.62999725341797
