Date,NET
2022-11-28,45.560001373291016
2022-11-29,44.61000061035156
2022-11-30,49.13999938964844
2022-12-01,49.56999969482422
2022-12-02,48.369998931884766
2022-12-05,43.25
2022-12-06,43.599998474121094
2022-12-07,44.27000045776367
2022-12-08,49.20000076293945
2022-12-09,48.41999816894531
2022-12-12,50.91999816894531
2022-12-13,51.7400016784668
2022-12-14,52.31999969482422
2022-12-15,49.060001373291016
2022-12-16,47.540000915527344
2022-12-19,45.06999969482422
2022-12-20,46.5099983215332
2022-12-21,46.5099983215332
2022-12-22,45.31999969482422
2022-12-23,43.779998779296875
2022-12-27,42.58000183105469
2022-12-28,42.220001220703125
2022-12-29,45.36000061035156
2022-12-30,45.209999084472656
2023-01-03,43.02000045776367
2023-01-04,43.04999923706055
2023-01-05,38.90999984741211
