Date,NTR
2022-11-28,80.19999694824219
2022-11-29,81.63999938964844
2022-11-30,80.4000015258789
2022-12-01,78.55999755859375
2022-12-02,79.44000244140625
2022-12-05,78.5999984741211
2022-12-06,77.41999816894531
2022-12-07,76.25
2022-12-08,76.37999725341797
2022-12-09,76.83999633789062
2022-12-12,77.58000183105469
2022-12-13,77.05000305175781
2022-12-14,76.05999755859375
2022-12-15,74.80000305175781
2022-12-16,73.69999694824219
2022-12-19,72.88999938964844
2022-12-20,73.33000183105469
2022-12-21,74.12999725341797
2022-12-22,72.97000122070312
2022-12-23,74.05000305175781
2022-12-27,74.4000015258789
2022-12-28,73.12999725341797
2022-12-29,73.37000274658203
2022-12-30,73.02999877929688
2023-01-03,71.62000274658203
2023-01-04,71.9800033569336
2023-01-05,74.5199966430664
