Date,BNS
2022-11-23,53.119998931884766
2022-11-25,53.36000061035156
2022-11-28,52.869998931884766
2022-11-29,51.29999923706055
2022-11-30,52.20000076293945
2022-12-01,52.22999954223633
2022-12-02,51.209999084472656
2022-12-05,49.970001220703125
2022-12-06,50.060001373291016
2022-12-07,49.79999923706055
2022-12-08,50.18000030517578
2022-12-09,50.29999923706055
2022-12-12,50.06999969482422
2022-12-13,49.90999984741211
2022-12-14,49.189998626708984
2022-12-15,47.959999084472656
2022-12-16,47.63999938964844
2022-12-19,47.220001220703125
2022-12-20,47.9900016784668
2022-12-21,48.40999984741211
2022-12-22,48.25
2022-12-23,48.83000183105469
2022-12-27,48.93000030517578
2022-12-28,48.099998474121094
2022-12-29,49.209999084472656
2022-12-30,48.97999954223633
2023-01-03,47.66999816894531
