Date,TLK
2022-11-25,25.549999237060547
2022-11-28,25.040000915527344
2022-11-29,25.110000610351562
2022-11-30,25.479999542236328
2022-12-01,25.3799991607666
2022-12-02,25.6200008392334
2022-12-05,24.670000076293945
2022-12-06,23.3700008392334
2022-12-07,23.440000534057617
2022-12-08,23.649999618530273
2022-12-09,23.309999465942383
2022-12-12,23.59000015258789
2022-12-13,23.739999771118164
2022-12-14,23.68000030517578
2022-12-15,23.190000534057617
2022-12-16,23.170000076293945
2022-12-19,23.579999923706055
2022-12-20,23.549999237060547
2022-12-21,23.860000610351562
2022-12-22,23.709999084472656
2022-12-23,24.030000686645508
2022-12-27,23.899999618530273
2022-12-28,23.420000076293945
2022-12-29,23.68000030517578
2022-12-30,23.850000381469727
2023-01-03,24.399999618530273
2023-01-04,24.350000381469727
