Date,WMB
2022-11-25,33.900001525878906
2022-11-28,33.47999954223633
2022-11-29,34.31999969482422
2022-11-30,34.70000076293945
2022-12-01,34.91999816894531
2022-12-02,34.959999084472656
2022-12-05,34.16999816894531
2022-12-06,33.470001220703125
2022-12-07,33.790000915527344
2022-12-08,32.90999984741211
2022-12-09,32.59000015258789
2022-12-12,33.189998626708984
2022-12-13,33.790000915527344
2022-12-14,33.720001220703125
2022-12-15,33.5
2022-12-16,32.349998474121094
2022-12-19,32.06999969482422
2022-12-20,32.349998474121094
2022-12-21,32.970001220703125
2022-12-22,32.56999969482422
2022-12-23,33.31999969482422
2022-12-27,33.40999984741211
2022-12-28,32.720001220703125
2022-12-29,32.970001220703125
2022-12-30,32.900001525878906
2023-01-03,32.150001525878906
2023-01-04,32.349998474121094
