Date,MCK
2022-11-29,381.7799987792969
2022-11-30,381.67999267578125
2022-12-01,379.7200012207031
2022-12-02,386.8500061035156
2022-12-05,382.44000244140625
2022-12-06,378.0400085449219
2022-12-07,385.510009765625
2022-12-08,381.6400146484375
2022-12-09,371.4100036621094
2022-12-12,377.75
2022-12-13,371.0899963378906
2022-12-14,372.30999755859375
2022-12-15,368.2799987792969
2022-12-16,372.6400146484375
2022-12-19,375.5400085449219
2022-12-20,375.54998779296875
2022-12-21,380.4599914550781
2022-12-22,381.7900085449219
2022-12-23,383.6700134277344
2022-12-27,380.19000244140625
2022-12-28,377.510009765625
2022-12-29,375.1199951171875
2022-12-30,375.1199951171875
2023-01-03,374.3299865722656
2023-01-04,374.010009765625
2023-01-05,374.04998779296875
2023-01-06,386.04998779296875
