Date,BAP
2022-11-25,153.47999572753906
2022-11-28,147.63999938964844
2022-11-29,146.92999267578125
2022-11-30,153.5500030517578
2022-12-01,151.22000122070312
2022-12-02,150.0399932861328
2022-12-05,149.07000732421875
2022-12-06,148.2899932861328
2022-12-07,144.60000610351562
2022-12-08,145.2100067138672
2022-12-09,147.77999877929688
2022-12-12,139.16000366210938
2022-12-13,138.50999450683594
2022-12-14,135.77999877929688
2022-12-15,133.91000366210938
2022-12-16,133.77000427246094
2022-12-19,134.2899932861328
2022-12-20,135.44000244140625
2022-12-21,135.99000549316406
2022-12-22,133.39999389648438
2022-12-23,134.6699981689453
2022-12-27,133.82000732421875
2022-12-28,134.69000244140625
2022-12-29,135.61000061035156
2022-12-30,135.66000366210938
2023-01-03,138.1199951171875
2023-01-04,140.13999938964844
