Date,ING
2022-11-28,11.819999694824219
2022-11-29,12.010000228881836
2022-11-30,12.119999885559082
2022-12-01,12.020000457763672
2022-12-02,12.029999732971191
2022-12-05,11.859999656677246
2022-12-06,11.800000190734863
2022-12-07,11.789999961853027
2022-12-08,11.779999732971191
2022-12-09,11.90999984741211
2022-12-12,11.949999809265137
2022-12-13,12.180000305175781
2022-12-14,12.010000228881836
2022-12-15,11.710000038146973
2022-12-16,11.899999618530273
2022-12-19,11.880000114440918
2022-12-20,12.119999885559082
2022-12-21,12.300000190734863
2022-12-22,12.229999542236328
2022-12-23,12.25
2022-12-27,12.319999694824219
2022-12-28,12.149999618530273
2022-12-29,12.260000228881836
2022-12-30,12.170000076293945
2023-01-03,12.539999961853027
2023-01-04,12.949999809265137
2023-01-05,12.819999694824219
