Date,INVH
2022-11-25,31.719999313354492
2022-11-28,30.989999771118164
2022-11-29,31.920000076293945
2022-11-30,32.630001068115234
2022-12-01,32.349998474121094
2022-12-02,32.36000061035156
2022-12-05,32.150001525878906
2022-12-06,31.65999984741211
2022-12-07,32.18000030517578
2022-12-08,32.11000061035156
2022-12-09,31.59000015258789
2022-12-12,31.149999618530273
2022-12-13,32.04999923706055
2022-12-14,32.0099983215332
2022-12-15,31.219999313354492
2022-12-16,30.3799991607666
2022-12-19,29.75
2022-12-20,29.530000686645508
2022-12-21,29.770000457763672
2022-12-22,29.6200008392334
2022-12-23,29.899999618530273
2022-12-27,29.729999542236328
2022-12-28,29.110000610351562
2022-12-29,30.030000686645508
2022-12-30,29.639999389648438
2023-01-03,29.260000228881836
2023-01-04,29.719999313354492
