Date,BTI
2022-11-25,40.599998474121094
2022-11-28,40.41999816894531
2022-11-29,40.36000061035156
2022-11-30,41.27000045776367
2022-12-01,41.900001525878906
2022-12-02,42.310001373291016
2022-12-05,42.349998474121094
2022-12-06,42.099998474121094
2022-12-07,42.029998779296875
2022-12-08,41.13999938964844
2022-12-09,41.41999816894531
2022-12-12,41.040000915527344
2022-12-13,40.58000183105469
2022-12-14,41.11000061035156
2022-12-15,40.88999938964844
2022-12-16,40.720001220703125
2022-12-19,40.95000076293945
2022-12-20,40.79999923706055
2022-12-21,41.099998474121094
2022-12-22,40.290000915527344
2022-12-23,40.599998474121094
2022-12-27,40.689998626708984
2022-12-28,40.15999984741211
2022-12-29,39.97999954223633
2022-12-30,39.97999954223633
2023-01-03,40.439998626708984
2023-01-04,40.40999984741211
