Date,PKG
2022-11-25,132.97000122070312
2022-11-28,130.10000610351562
2022-11-29,132.69000244140625
2022-11-30,135.88999938964844
2022-12-01,136.16000366210938
2022-12-02,137.82000732421875
2022-12-05,135.5800018310547
2022-12-06,134.8300018310547
2022-12-07,135.1999969482422
2022-12-08,135.9600067138672
2022-12-09,135.11000061035156
2022-12-12,137.1300048828125
2022-12-13,136.5
2022-12-14,135.3300018310547
2022-12-15,132.8800048828125
2022-12-16,130.5800018310547
2022-12-19,128.61000061035156
2022-12-20,127.88999938964844
2022-12-21,128.42999267578125
2022-12-22,127.41000366210938
2022-12-23,128.6999969482422
2022-12-27,129.55999755859375
2022-12-28,127.01000213623047
2022-12-29,128.6300048828125
2022-12-30,127.91000366210938
2023-01-03,129.05999755859375
2023-01-04,130.8000030517578
