Date,HUBS
2022-11-29,282.67999267578125
2022-11-30,303.0299987792969
2022-12-01,305.9200134277344
2022-12-02,303.9599914550781
2022-12-05,281.1000061035156
2022-12-06,270.260009765625
2022-12-07,275.75
2022-12-08,292.6700134277344
2022-12-09,291.3800048828125
2022-12-12,296.8500061035156
2022-12-13,308.4200134277344
2022-12-14,313.54998779296875
2022-12-15,299.4599914550781
2022-12-16,295.4800109863281
2022-12-19,287.5199890136719
2022-12-20,290.20001220703125
2022-12-21,294.7099914550781
2022-12-22,283.3999938964844
2022-12-23,281.2300109863281
2022-12-27,274.17999267578125
2022-12-28,277.54998779296875
2022-12-29,291.8900146484375
2022-12-30,289.1300048828125
2023-01-03,289.8900146484375
2023-01-04,294.7900085449219
2023-01-05,276.1199951171875
2023-01-06,272.1400146484375
