Date,IBM
2022-11-25,148.3699951171875
2022-11-28,146.17999267578125
2022-11-29,146.49000549316406
2022-11-30,148.89999389648438
2022-12-01,149.16000366210938
2022-12-02,148.6699981689453
2022-12-05,147.41000366210938
2022-12-06,147.5
2022-12-07,147.27000427246094
2022-12-08,147.77999877929688
2022-12-09,147.0500030517578
2022-12-12,149.2100067138672
2022-12-13,150.57000732421875
2022-12-14,149.86000061035156
2022-12-15,142.36000061035156
2022-12-16,140.16000366210938
2022-12-19,138.8699951171875
2022-12-20,141.27999877929688
2022-12-21,142.13999938964844
2022-12-22,140.8800048828125
2022-12-23,141.64999389648438
2022-12-27,142.4199981689453
2022-12-28,140.02000427246094
2022-12-29,141.05999755859375
2022-12-30,140.88999938964844
2023-01-03,141.5500030517578
2023-01-04,142.60000610351562
