Date,LNG
2022-11-28,170.42999267578125
2022-11-29,172.64999389648438
2022-11-30,175.36000061035156
2022-12-01,175.52999877929688
2022-12-02,174.72000122070312
2022-12-05,172.33999633789062
2022-12-06,163.72999572753906
2022-12-07,168.3800048828125
2022-12-08,163.10000610351562
2022-12-09,158.52999877929688
2022-12-12,162.49000549316406
2022-12-13,165.1999969482422
2022-12-14,163.1999969482422
2022-12-15,160.60000610351562
2022-12-16,157.61000061035156
2022-12-19,152.27000427246094
2022-12-20,153.6999969482422
2022-12-21,157.32000732421875
2022-12-22,152.4499969482422
2022-12-23,155.9199981689453
2022-12-27,155.50999450683594
2022-12-28,149.4600067138672
2022-12-29,149.86000061035156
2022-12-30,149.9600067138672
2023-01-03,140.52999877929688
2023-01-04,144.69000244140625
2023-01-05,144.7899932861328
