Date,VRT
2022-11-28,13.100000381469727
2022-11-29,13.199999809265137
2022-11-30,13.850000381469727
2022-12-01,14.199999809265137
2022-12-02,14.760000228881836
2022-12-05,14.350000381469727
2022-12-06,13.930000305175781
2022-12-07,13.65999984741211
2022-12-08,14.239999771118164
2022-12-09,13.640000343322754
2022-12-12,13.619999885559082
2022-12-13,14.079999923706055
2022-12-14,13.90999984741211
2022-12-15,13.25
2022-12-16,13.140000343322754
2022-12-19,12.680000305175781
2022-12-20,12.850000381469727
2022-12-21,13.140000343322754
2022-12-22,12.779999732971191
2022-12-23,12.819999694824219
2022-12-27,12.579999923706055
2022-12-28,12.350000381469727
2022-12-29,13.529999732971191
2022-12-30,13.65999984741211
2023-01-03,13.300000190734863
2023-01-04,13.5
2023-01-05,13.529999732971191
