Date,RJF
2022-11-25,119.55999755859375
2022-11-28,115.8499984741211
2022-11-29,115.37000274658203
2022-11-30,116.9000015258789
2022-12-01,117.41000366210938
2022-12-02,119.16000366210938
2022-12-05,116.16999816894531
2022-12-06,116.06999969482422
2022-12-07,113.91000366210938
2022-12-08,113.66000366210938
2022-12-09,113.45999908447266
2022-12-12,114.58000183105469
2022-12-13,111.5199966430664
2022-12-14,110.27999877929688
2022-12-15,107.86000061035156
2022-12-16,106.75
2022-12-19,105.1500015258789
2022-12-20,105.5999984741211
2022-12-21,106.73999786376953
2022-12-22,106.08999633789062
2022-12-23,107.3499984741211
2022-12-27,106.54000091552734
2022-12-28,106.26000213623047
2022-12-29,107.98999786376953
2022-12-30,106.8499984741211
2023-01-03,106.11000061035156
2023-01-04,105.54000091552734
2023-01-05,107.25
