Date,CAVA
2024-03-19,65.0999984741211
2024-03-20,68.31999969482422
2024-03-21,67.81999969482422
2024-03-22,67.95999908447266
2024-03-25,68.25
2024-03-26,68.22000122070312
2024-03-27,69.16999816894531
2024-03-28,70.05000305175781
2024-04-01,68.4000015258789
2024-04-02,65.75
2024-04-03,66.7699966430664
2024-04-04,63.33000183105469
2024-04-05,64.6500015258789
2024-04-08,64.94000244140625
2024-04-09,60.279998779296875
2024-04-10,63.689998626708984
2024-04-11,66.37999725341797
2024-04-12,63.75
2024-04-15,61.75
2024-04-16,62.86000061035156
2024-04-17,61.560001373291016
2024-04-18,61.5
2024-04-19,59.66999816894531
2024-04-22,59.61000061035156
2024-04-23,61.189998626708984
2024-04-24,60.40999984741211
2024-04-25,62.59000015258789
2024-04-26,69.16000366210938
