Date,ALL
2022-11-28,132.72000122070312
2022-11-29,133.3800048828125
2022-11-30,133.89999389648438
2022-12-01,132.00999450683594
2022-12-02,130.85000610351562
2022-12-05,128.44000244140625
2022-12-06,130.30999755859375
2022-12-07,130.11000061035156
2022-12-08,130.02999877929688
2022-12-09,128.5500030517578
2022-12-12,128.8300018310547
2022-12-13,130.32000732421875
2022-12-14,129.89999389648438
2022-12-15,132.2899932861328
2022-12-16,131.19000244140625
2022-12-19,130.99000549316406
2022-12-20,133.67999267578125
2022-12-21,134.63999938964844
2022-12-22,135.42999267578125
2022-12-23,136.3699951171875
2022-12-27,136.02000427246094
2022-12-28,135.42999267578125
2022-12-29,136.4199981689453
2022-12-30,135.60000610351562
2023-01-03,136.66000366210938
2023-01-04,138.9600067138672
2023-01-05,139.33999633789062
