Date,AMH
2022-11-25,32.36000061035156
2022-11-28,31.6200008392334
2022-11-29,32.5099983215332
2022-11-30,33.06999969482422
2022-12-01,32.95000076293945
2022-12-02,32.939998626708984
2022-12-05,32.54999923706055
2022-12-06,32.06999969482422
2022-12-07,32.75
2022-12-08,32.970001220703125
2022-12-09,32.86000061035156
2022-12-12,32.41999816894531
2022-12-13,32.84000015258789
2022-12-14,32.34000015258789
2022-12-15,31.5
2022-12-16,30.829999923706055
2022-12-19,30.309999465942383
2022-12-20,30.100000381469727
2022-12-21,30.299999237060547
2022-12-22,30.139999389648438
2022-12-23,30.469999313354492
2022-12-27,30.260000228881836
2022-12-28,29.809999465942383
2022-12-29,30.469999313354492
2022-12-30,30.139999389648438
2023-01-03,29.760000228881836
2023-01-04,30.510000228881836
