Date,CQP
2022-11-25,61.209999084472656
2022-11-28,60.65999984741211
2022-11-29,61.540000915527344
2022-11-30,62.08000183105469
2022-12-01,59.20000076293945
2022-12-02,59.5099983215332
2022-12-05,59.290000915527344
2022-12-06,57.0
2022-12-07,57.18000030517578
2022-12-08,57.54999923706055
2022-12-09,57.380001068115234
2022-12-12,58.36000061035156
2022-12-13,60.529998779296875
2022-12-14,58.4900016784668
2022-12-15,58.25
2022-12-16,58.70000076293945
2022-12-19,56.38999938964844
2022-12-20,57.150001525878906
2022-12-21,58.7400016784668
2022-12-22,57.900001525878906
2022-12-23,58.790000915527344
2022-12-27,57.279998779296875
2022-12-28,56.029998779296875
2022-12-29,57.22999954223633
2022-12-30,56.869998931884766
2023-01-03,54.58000183105469
2023-01-04,54.91999816894531
