Date,KB
2022-11-25,37.59000015258789
2022-11-28,36.540000915527344
2022-11-29,38.560001373291016
2022-11-30,39.40999984741211
2022-12-01,40.470001220703125
2022-12-02,39.7599983215332
2022-12-05,39.540000915527344
2022-12-06,39.29999923706055
2022-12-07,38.52000045776367
2022-12-08,38.5
2022-12-09,39.869998931884766
2022-12-12,40.720001220703125
2022-12-13,40.939998626708984
2022-12-14,40.47999954223633
2022-12-15,38.689998626708984
2022-12-16,39.119998931884766
2022-12-19,39.61000061035156
2022-12-20,40.849998474121094
2022-12-21,40.5099983215332
2022-12-22,40.66999816894531
2022-12-23,40.380001068115234
2022-12-27,40.290000915527344
2022-12-28,39.59000015258789
2022-12-29,38.970001220703125
2022-12-30,38.65999984741211
2023-01-03,38.81999969482422
2023-01-04,40.349998474121094
