Date,HCA
2022-11-25,239.3699951171875
2022-11-28,234.35000610351562
2022-11-29,235.80999755859375
2022-11-30,240.22000122070312
2022-12-01,238.47000122070312
2022-12-02,239.02999877929688
2022-12-05,235.35000610351562
2022-12-06,236.6199951171875
2022-12-07,238.11000061035156
2022-12-08,241.52999877929688
2022-12-09,237.58999633789062
2022-12-12,242.72999572753906
2022-12-13,243.10000610351562
2022-12-14,244.6999969482422
2022-12-15,239.6999969482422
2022-12-16,239.0500030517578
2022-12-19,238.6699981689453
2022-12-20,238.36000061035156
2022-12-21,242.89999389648438
2022-12-22,241.14999389648438
2022-12-23,240.74000549316406
2022-12-27,240.02999877929688
2022-12-28,236.39999389648438
2022-12-29,240.3800048828125
2022-12-30,239.9600067138672
2023-01-03,243.2100067138672
2023-01-04,248.8800048828125
