Date,WDS
2022-11-25,25.670000076293945
2022-11-28,24.8700008392334
2022-11-29,24.549999237060547
2022-11-30,25.219999313354492
2022-12-01,24.6200008392334
2022-12-02,23.959999084472656
2022-12-05,23.8799991607666
2022-12-06,23.93000030517578
2022-12-07,23.809999465942383
2022-12-08,23.149999618530273
2022-12-09,23.09000015258789
2022-12-12,23.959999084472656
2022-12-13,24.25
2022-12-14,24.209999084472656
2022-12-15,23.719999313354492
2022-12-16,24.0
2022-12-19,23.809999465942383
2022-12-20,23.93000030517578
2022-12-21,24.790000915527344
2022-12-22,23.969999313354492
2022-12-23,24.549999237060547
2022-12-27,24.600000381469727
2022-12-28,24.34000015258789
2022-12-29,23.93000030517578
2022-12-30,24.209999084472656
2023-01-03,23.239999771118164
2023-01-04,23.1299991607666
2023-01-05,22.93000030517578
