Date,RTX
2022-11-25,97.47000122070312
2022-11-28,96.9000015258789
2022-11-29,97.43000030517578
2022-11-30,98.72000122070312
2022-12-01,99.5
2022-12-02,101.01000213623047
2022-12-05,100.68000030517578
2022-12-06,98.7300033569336
2022-12-07,99.04000091552734
2022-12-08,99.48999786376953
2022-12-09,98.2699966430664
2022-12-12,99.55999755859375
2022-12-13,99.88999938964844
2022-12-14,99.94999694824219
2022-12-15,98.48999786376953
2022-12-16,98.33999633789062
2022-12-19,97.54000091552734
2022-12-20,98.18000030517578
2022-12-21,99.76000213623047
2022-12-22,98.51000213623047
2022-12-23,99.30000305175781
2022-12-27,99.66000366210938
2022-12-28,99.13999938964844
2022-12-29,100.33000183105469
2022-12-30,100.91999816894531
2023-01-03,100.80999755859375
2023-01-04,100.83999633789062
