Date,DT
2022-11-28,36.779998779296875
2022-11-29,36.38999938964844
2022-11-30,38.75
2022-12-01,39.40999984741211
2022-12-02,39.060001373291016
2022-12-05,37.560001373291016
2022-12-06,36.0099983215332
2022-12-07,36.09000015258789
2022-12-08,37.470001220703125
2022-12-09,36.959999084472656
2022-12-12,38.290000915527344
2022-12-13,39.70000076293945
2022-12-14,40.810001373291016
2022-12-15,39.34000015258789
2022-12-16,38.70000076293945
2022-12-19,37.16999816894531
2022-12-20,37.810001373291016
2022-12-21,38.66999816894531
2022-12-22,37.33000183105469
2022-12-23,37.279998779296875
2022-12-27,37.189998626708984
2022-12-28,37.220001220703125
2022-12-29,38.470001220703125
2022-12-30,38.29999923706055
2023-01-03,38.349998474121094
2023-01-04,38.59000015258789
2023-01-05,36.7599983215332
