Date,FERG
2022-11-29,114.62000274658203
2022-11-30,117.2300033569336
2022-12-01,118.30999755859375
2022-12-02,116.63999938964844
2022-12-05,115.6500015258789
2022-12-06,122.08000183105469
2022-12-07,123.51000213623047
2022-12-08,126.08000183105469
2022-12-09,127.12000274658203
2022-12-12,128.6999969482422
2022-12-13,130.75
2022-12-14,131.57000732421875
2022-12-15,126.63999938964844
2022-12-16,124.33000183105469
2022-12-19,125.38999938964844
2022-12-20,124.97000122070312
2022-12-21,126.08999633789062
2022-12-22,124.8499984741211
2022-12-23,124.86000061035156
2022-12-27,126.51000213623047
2022-12-28,124.70999908447266
2022-12-29,127.51000213623047
2022-12-30,126.97000122070312
2023-01-03,128.61000061035156
2023-01-04,132.0
2023-01-05,134.3800048828125
2023-01-06,140.33999633789062
