Date,APH
2022-11-25,40.16999816894531
2022-11-28,38.90999984741211
2022-11-29,38.70000076293945
2022-11-30,40.21500015258789
2022-12-01,40.435001373291016
2022-12-02,40.310001373291016
2022-12-05,39.7400016784668
2022-12-06,39.1349983215332
2022-12-07,39.029998779296875
2022-12-08,39.775001525878906
2022-12-09,39.255001068115234
2022-12-12,40.095001220703125
2022-12-13,40.98500061035156
2022-12-14,40.86000061035156
2022-12-15,39.07500076293945
2022-12-16,38.83000183105469
2022-12-19,37.974998474121094
2022-12-20,38.1150016784668
2022-12-21,38.38999938964844
2022-12-22,38.029998779296875
2022-12-23,37.904998779296875
2022-12-27,38.17499923706055
2022-12-28,37.44499969482422
2022-12-29,38.310001373291016
2022-12-30,38.06999969482422
2023-01-03,38.20000076293945
2023-01-04,38.76499938964844
