Date,BHP
2022-11-25,59.68000030517578
2022-11-28,58.97999954223633
2022-11-29,60.810001373291016
2022-11-30,62.79999923706055
2022-12-01,63.02000045776367
2022-12-02,63.43000030517578
2022-12-05,62.47999954223633
2022-12-06,62.7400016784668
2022-12-07,62.45000076293945
2022-12-08,63.470001220703125
2022-12-09,63.97999954223633
2022-12-12,63.09000015258789
2022-12-13,63.36000061035156
2022-12-14,62.40999984741211
2022-12-15,61.66999816894531
2022-12-16,61.18000030517578
2022-12-19,60.81999969482422
2022-12-20,61.540000915527344
2022-12-21,62.65999984741211
2022-12-22,61.40999984741211
2022-12-23,62.04999923706055
2022-12-27,62.7400016784668
2022-12-28,61.7400016784668
2022-12-29,62.2400016784668
2022-12-30,62.04999923706055
2023-01-03,61.400001525878906
2023-01-04,62.77000045776367
