Date,MMYT
2022-11-30,29.690000534057617
2022-12-01,29.780000686645508
2022-12-02,29.290000915527344
2022-12-05,28.030000686645508
2022-12-06,27.780000686645508
2022-12-07,28.079999923706055
2022-12-08,29.3700008392334
2022-12-09,28.59000015258789
2022-12-12,28.93000030517578
2022-12-13,28.899999618530273
2022-12-14,28.809999465942383
2022-12-15,28.530000686645508
2022-12-16,28.34000015258789
2022-12-19,29.040000915527344
2022-12-20,28.079999923706055
2022-12-21,28.440000534057617
2022-12-22,28.25
2022-12-23,28.0
2022-12-27,27.729999542236328
2022-12-28,26.989999771118164
2022-12-29,27.450000762939453
2022-12-30,27.56999969482422
2023-01-03,27.3700008392334
2023-01-04,26.959999084472656
2023-01-05,27.420000076293945
2023-01-06,27.200000762939453
2023-01-09,26.889999389648438
