Date,PEGA
2022-11-25,37.43000030517578
2022-11-28,36.040000915527344
2022-11-29,35.900001525878906
2022-11-30,36.25
2022-12-01,37.400001525878906
2022-12-02,36.97999954223633
2022-12-05,35.540000915527344
2022-12-06,34.95000076293945
2022-12-07,35.0099983215332
2022-12-08,35.900001525878906
2022-12-09,35.7400016784668
2022-12-12,36.54999923706055
2022-12-13,38.369998931884766
2022-12-14,38.0099983215332
2022-12-15,36.4900016784668
2022-12-16,35.97999954223633
2022-12-19,34.43000030517578
2022-12-20,34.63999938964844
2022-12-21,34.83000183105469
2022-12-22,34.369998931884766
2022-12-23,34.119998931884766
2022-12-27,33.20000076293945
2022-12-28,32.810001373291016
2022-12-29,34.459999084472656
2022-12-30,34.2400016784668
2023-01-03,34.61000061035156
2023-01-04,35.2400016784668
