Date,LNW
2022-11-23,65.13999938964844
2022-11-25,65.44999694824219
2022-11-28,64.48999786376953
2022-11-29,64.55999755859375
2022-11-30,64.7699966430664
2022-12-01,64.26000213623047
2022-12-02,63.72999954223633
2022-12-05,63.619998931884766
2022-12-06,62.38999938964844
2022-12-07,61.869998931884766
2022-12-08,63.4900016784668
2022-12-09,63.22999954223633
2022-12-12,64.26000213623047
2022-12-13,65.94999694824219
2022-12-14,65.83000183105469
2022-12-15,63.939998626708984
2022-12-16,63.119998931884766
2022-12-19,59.56999969482422
2022-12-20,59.709999084472656
2022-12-21,59.2599983215332
2022-12-22,58.25
2022-12-23,59.290000915527344
2022-12-27,59.31999969482422
2022-12-28,57.33000183105469
2022-12-29,58.310001373291016
2022-12-30,58.599998474121094
2023-01-03,58.119998931884766
