Date,MCHP
2022-11-28,74.33999633789062
2022-11-29,74.22000122070312
2022-11-30,79.19000244140625
2022-12-01,78.31999969482422
2022-12-02,77.30999755859375
2022-12-05,76.58000183105469
2022-12-06,75.13999938964844
2022-12-07,75.2300033569336
2022-12-08,76.81999969482422
2022-12-09,75.87999725341797
2022-12-12,77.33000183105469
2022-12-13,77.41000366210938
2022-12-14,76.11000061035156
2022-12-15,72.70999908447266
2022-12-16,72.66999816894531
2022-12-19,71.4800033569336
2022-12-20,71.22000122070312
2022-12-21,72.95999908447266
2022-12-22,69.91000366210938
2022-12-23,69.93000030517578
2022-12-27,69.02999877929688
2022-12-28,67.87000274658203
2022-12-29,70.44999694824219
2022-12-30,70.25
2023-01-03,69.0999984741211
2023-01-04,70.79000091552734
2023-01-05,69.0999984741211
