Date,DORM
2022-11-25,90.87000274658203
2022-11-28,87.33000183105469
2022-11-29,87.04000091552734
2022-11-30,89.63999938964844
2022-12-01,90.66000366210938
2022-12-02,92.47000122070312
2022-12-05,89.37999725341797
2022-12-06,86.37000274658203
2022-12-07,85.86000061035156
2022-12-08,85.87000274658203
2022-12-09,86.48999786376953
2022-12-12,84.48999786376953
2022-12-13,84.38999938964844
2022-12-14,83.55000305175781
2022-12-15,82.9000015258789
2022-12-16,80.55000305175781
2022-12-19,80.80000305175781
2022-12-20,79.98999786376953
2022-12-21,83.23999786376953
2022-12-22,79.80999755859375
2022-12-23,81.30999755859375
2022-12-27,81.9000015258789
2022-12-28,80.06999969482422
2022-12-29,82.0999984741211
2022-12-30,80.87000274658203
2023-01-03,82.83000183105469
2023-01-04,83.25
