Date,MASI
2022-11-28,141.9600067138672
2022-11-29,140.64999389648438
2022-11-30,144.94000244140625
2022-12-01,145.74000549316406
2022-12-02,145.5
2022-12-05,142.5500030517578
2022-12-06,138.64999389648438
2022-12-07,139.38999938964844
2022-12-08,138.8699951171875
2022-12-09,138.49000549316406
2022-12-12,143.36000061035156
2022-12-13,150.36000061035156
2022-12-14,145.0
2022-12-15,144.30999755859375
2022-12-16,142.58999633789062
2022-12-19,138.72000122070312
2022-12-20,145.72000122070312
2022-12-21,146.8300018310547
2022-12-22,149.77000427246094
2022-12-23,148.08999633789062
2022-12-27,145.35000610351562
2022-12-28,145.00999450683594
2022-12-29,146.85000610351562
2022-12-30,147.9499969482422
2023-01-03,146.02999877929688
2023-01-04,151.36000061035156
2023-01-05,151.58999633789062
