Date,DBX
2022-11-28,22.209999084472656
2022-11-29,22.540000915527344
2022-11-30,23.559999465942383
2022-12-01,23.75
2022-12-02,23.329999923706055
2022-12-05,22.469999313354492
2022-12-06,22.31999969482422
2022-12-07,22.06999969482422
2022-12-08,22.510000228881836
2022-12-09,22.389999389648438
2022-12-12,22.940000534057617
2022-12-13,23.440000534057617
2022-12-14,23.729999542236328
2022-12-15,23.149999618530273
2022-12-16,23.200000762939453
2022-12-19,22.3799991607666
2022-12-20,22.389999389648438
2022-12-21,22.860000610351562
2022-12-22,22.40999984741211
2022-12-23,22.479999542236328
2022-12-27,22.209999084472656
2022-12-28,21.969999313354492
2022-12-29,22.34000015258789
2022-12-30,22.3799991607666
2023-01-03,22.68000030517578
2023-01-04,22.809999465942383
2023-01-05,22.110000610351562
