Date,EXPE
2022-11-25,101.5
2022-11-28,99.6500015258789
2022-11-29,102.44999694824219
2022-11-30,106.83999633789062
2022-12-01,105.93000030517578
2022-12-02,103.69000244140625
2022-12-05,100.66000366210938
2022-12-06,96.91000366210938
2022-12-07,90.79000091552734
2022-12-08,93.58000183105469
2022-12-09,94.0999984741211
2022-12-12,95.5999984741211
2022-12-13,94.38999938964844
2022-12-14,92.79000091552734
2022-12-15,90.19999694824219
2022-12-16,88.16999816894531
2022-12-19,85.26000213623047
2022-12-20,85.61000061035156
2022-12-21,86.48999786376953
2022-12-22,84.5199966430664
2022-12-23,86.43000030517578
2022-12-27,86.55999755859375
2022-12-28,83.69000244140625
2022-12-29,87.12999725341797
2022-12-30,87.5999984741211
2023-01-03,87.68000030517578
2023-01-04,90.98999786376953
