Date,CMCSA
2022-11-25,35.650001525878906
2022-11-28,35.59000015258789
2022-11-29,35.47999954223633
2022-11-30,36.63999938964844
2022-12-01,36.279998779296875
2022-12-02,35.86000061035156
2022-12-05,35.150001525878906
2022-12-06,34.77000045776367
2022-12-07,34.619998931884766
2022-12-08,34.970001220703125
2022-12-09,35.31999969482422
2022-12-12,36.52000045776367
2022-12-13,36.709999084472656
2022-12-14,35.349998474121094
2022-12-15,34.61000061035156
2022-12-16,34.4900016784668
2022-12-19,33.97999954223633
2022-12-20,34.40999984741211
2022-12-21,35.08000183105469
2022-12-22,34.81999969482422
2022-12-23,35.13999938964844
2022-12-27,35.0
2022-12-28,34.619998931884766
2022-12-29,35.04999923706055
2022-12-30,34.970001220703125
2023-01-03,35.56999969482422
2023-01-04,36.59000015258789
