Date,CYTK
2022-11-30,42.5
2022-12-01,40.86000061035156
2022-12-02,40.4900016784668
2022-12-05,38.119998931884766
2022-12-06,37.0
2022-12-07,37.040000915527344
2022-12-08,36.0
2022-12-09,35.77000045776367
2022-12-12,38.33000183105469
2022-12-13,38.33000183105469
2022-12-14,41.40999984741211
2022-12-15,43.099998474121094
2022-12-16,43.709999084472656
2022-12-19,44.02000045776367
2022-12-20,44.459999084472656
2022-12-21,45.119998931884766
2022-12-22,47.40999984741211
2022-12-23,45.59000015258789
2022-12-27,45.189998626708984
2022-12-28,45.599998474121094
2022-12-29,45.689998626708984
2022-12-30,45.81999969482422
2023-01-03,44.349998474121094
2023-01-04,42.70000076293945
2023-01-05,42.529998779296875
2023-01-06,43.150001525878906
2023-01-09,42.29999923706055
