Date,LI
2022-11-25,16.809999465942383
2022-11-28,17.040000915527344
2022-11-29,18.530000686645508
2022-11-30,22.0
2022-12-01,21.299999237060547
2022-12-02,22.780000686645508
2022-12-05,22.110000610351562
2022-12-06,23.100000381469727
2022-12-07,22.59000015258789
2022-12-08,24.100000381469727
2022-12-09,21.1200008392334
2022-12-12,20.719999313354492
2022-12-13,20.34000015258789
2022-12-14,20.280000686645508
2022-12-15,20.43000030517578
2022-12-16,20.450000762939453
2022-12-19,20.040000915527344
2022-12-20,20.1200008392334
2022-12-21,20.799999237060547
2022-12-22,20.43000030517578
2022-12-23,18.770000457763672
2022-12-27,18.540000915527344
2022-12-28,18.43000030517578
2022-12-29,19.489999771118164
2022-12-30,20.399999618530273
2023-01-03,20.979999542236328
2023-01-04,22.979999542236328
