Date,NCNO
2022-11-29,24.969999313354492
2022-11-30,26.1200008392334
2022-12-01,27.540000915527344
2022-12-02,26.639999389648438
2022-12-05,24.90999984741211
2022-12-06,24.6299991607666
2022-12-07,24.469999313354492
2022-12-08,25.399999618530273
2022-12-09,25.450000762939453
2022-12-12,26.31999969482422
2022-12-13,26.670000076293945
2022-12-14,27.059999465942383
2022-12-15,26.15999984741211
2022-12-16,25.8700008392334
2022-12-19,25.709999084472656
2022-12-20,25.739999771118164
2022-12-21,26.31999969482422
2022-12-22,25.420000076293945
2022-12-23,25.8799991607666
2022-12-27,24.479999542236328
2022-12-28,24.229999542236328
2022-12-29,25.979999542236328
2022-12-30,26.440000534057617
2023-01-03,26.43000030517578
2023-01-04,25.969999313354492
2023-01-05,24.860000610351562
2023-01-06,25.299999237060547
