Date,BRKR
2022-11-25,68.79000091552734
2022-11-28,66.25
2022-11-29,65.13999938964844
2022-11-30,67.41000366210938
2022-12-01,67.68000030517578
2022-12-02,66.91999816894531
2022-12-05,67.05000305175781
2022-12-06,66.45999908447266
2022-12-07,66.19000244140625
2022-12-08,66.83000183105469
2022-12-09,64.61000061035156
2022-12-12,66.30999755859375
2022-12-13,67.05999755859375
2022-12-14,66.38999938964844
2022-12-15,64.86000061035156
2022-12-16,64.41000366210938
2022-12-19,63.75
2022-12-20,64.52999877929688
2022-12-21,66.8499984741211
2022-12-22,66.62999725341797
2022-12-23,66.54000091552734
2022-12-27,67.27999877929688
2022-12-28,66.37000274658203
2022-12-29,68.88999938964844
2022-12-30,68.3499984741211
2023-01-03,69.06999969482422
2023-01-04,70.19000244140625
