Date,SIGI
2022-11-25,95.37999725341797
2022-11-28,95.62999725341797
2022-11-29,94.70999908447266
2022-11-30,96.12000274658203
2022-12-01,94.41999816894531
2022-12-02,95.08000183105469
2022-12-05,92.61000061035156
2022-12-06,92.0199966430664
2022-12-07,90.55999755859375
2022-12-08,91.0
2022-12-09,90.11000061035156
2022-12-12,90.18000030517578
2022-12-13,89.02999877929688
2022-12-14,88.7699966430664
2022-12-15,86.08000183105469
2022-12-16,86.5
2022-12-19,87.93000030517578
2022-12-20,89.73999786376953
2022-12-21,91.80000305175781
2022-12-22,90.25
2022-12-23,90.8499984741211
2022-12-27,90.83999633789062
2022-12-28,89.12999725341797
2022-12-29,90.33999633789062
2022-12-30,88.61000061035156
2023-01-03,89.66999816894531
2023-01-04,89.62999725341797
2023-01-05,89.2300033569336
