Date,ACT
2022-11-28,24.360000610351562
2022-11-29,24.34000015258789
2022-11-30,24.799999237060547
2022-12-01,24.799999237060547
2022-12-02,24.75
2022-12-05,24.690000534057617
2022-12-06,23.850000381469727
2022-12-07,23.920000076293945
2022-12-08,24.43000030517578
2022-12-09,24.31999969482422
2022-12-12,24.329999923706055
2022-12-13,24.309999465942383
2022-12-14,23.93000030517578
2022-12-15,23.610000610351562
2022-12-16,23.75
2022-12-19,23.940000534057617
2022-12-20,24.440000534057617
2022-12-21,24.6299991607666
2022-12-22,23.90999984741211
2022-12-23,24.190000534057617
2022-12-27,24.1200008392334
2022-12-28,23.6299991607666
2022-12-29,24.020000457763672
2022-12-30,24.1200008392334
2023-01-03,24.190000534057617
2023-01-04,24.329999923706055
2023-01-05,23.760000228881836
2023-01-06,24.350000381469727
