Date,GRFS
2022-08-17,8.65999984741211
2022-08-18,8.380000114440918
2022-08-19,8.430000305175781
2022-08-22,8.329999923706055
2022-08-23,8.15999984741211
2022-08-24,8.069999694824219
2022-08-25,8.1899995803833
2022-08-26,7.960000038146973
2022-08-29,7.710000038146973
2022-08-30,7.78000020980835
2022-08-31,7.769999980926514
2022-09-01,7.739999771118164
2022-09-02,7.630000114440918
2022-09-06,7.599999904632568
2022-09-07,7.78000020980835
2022-09-08,8.180000305175781
2022-09-09,8.529999732971191
2022-09-12,8.640000343322754
2022-09-13,8.5
2022-09-14,8.239999771118164
2022-09-15,8.369999885559082
2022-09-16,8.449999809265137
2022-09-19,8.270000457763672
2022-09-20,8.449999809265137
2022-09-21,8.109999656677246
2022-09-22,7.739999771118164
2022-09-23,7.03000020980835
2022-09-26,6.909999847412109
2022-09-27,6.599999904632568
2022-09-28,6.489999771118164
2022-09-29,5.949999809265137
2022-09-30,6.159999847412109
2022-10-03,6.440000057220459
2022-10-04,6.860000133514404
2022-10-05,6.559999942779541
2022-10-06,6.409999847412109
2022-10-07,6.230000019073486
2022-10-10,6.079999923706055
2022-10-11,6.010000228881836
2022-10-12,5.960000038146973
2022-10-13,6.059999942779541
2022-10-14,6.139999866485596
2022-10-17,6.300000190734863
2022-10-18,6.429999828338623
2022-10-19,6.050000190734863
2022-10-20,6.0
2022-10-21,6.079999923706055
2022-10-24,6.119999885559082
2022-10-25,6.099999904632568
2022-10-26,6.420000076293945
2022-10-27,6.170000076293945
2022-10-28,6.28000020980835
2022-10-31,6.309999942779541
2022-11-01,6.599999904632568
2022-11-02,6.489999771118164
2022-11-03,6.380000114440918
2022-11-04,6.570000171661377
2022-11-07,6.989999771118164
2022-11-08,7.320000171661377
2022-11-09,7.190000057220459
2022-11-10,7.289999961853027
2022-11-11,8.180000305175781
2022-11-14,8.140000343322754
2022-11-15,7.989999771118164
2022-11-16,7.900000095367432
2022-11-17,7.579999923706055
2022-11-18,7.53000020980835
2022-11-21,7.809999942779541
2022-11-22,7.980000019073486
2022-11-23,8.229999542236328
