Date,SMTC
2022-06-29,55.119998931884766
2022-06-30,54.970001220703125
2022-07-01,51.970001220703125
2022-07-05,51.91999816894531
2022-07-06,51.2599983215332
2022-07-07,52.97999954223633
2022-07-08,53.25
2022-07-11,52.63999938964844
2022-07-12,52.459999084472656
2022-07-13,52.7400016784668
2022-07-14,53.779998779296875
2022-07-15,55.06999969482422
2022-07-18,54.43000030517578
2022-07-19,56.97999954223633
2022-07-20,58.630001068115234
2022-07-21,60.130001068115234
2022-07-22,58.27000045776367
2022-07-25,57.65999984741211
2022-07-26,57.369998931884766
2022-07-27,59.59000015258789
2022-07-28,61.209999084472656
2022-07-29,62.33000183105469
2022-08-01,58.470001220703125
2022-08-02,55.34000015258789
2022-08-03,56.099998474121094
2022-08-04,56.209999084472656
2022-08-05,55.7400016784668
2022-08-08,54.599998474121094
2022-08-09,51.25
2022-08-10,52.66999816894531
2022-08-11,52.43000030517578
2022-08-12,54.40999984741211
2022-08-15,55.0
2022-08-16,54.689998626708984
2022-08-17,52.540000915527344
2022-08-18,54.36000061035156
2022-08-19,53.150001525878906
2022-08-22,51.369998931884766
2022-08-23,51.790000915527344
2022-08-24,50.65999984741211
2022-08-25,52.31999969482422
2022-08-26,48.9900016784668
2022-08-29,47.27000045776367
2022-08-30,46.849998474121094
2022-08-31,46.189998626708984
2022-09-01,33.650001525878906
2022-09-02,34.36000061035156
2022-09-06,33.81999969482422
2022-09-07,33.95000076293945
2022-09-08,33.900001525878906
2022-09-09,34.81999969482422
2022-09-12,34.79999923706055
2022-09-13,32.72999954223633
2022-09-14,32.720001220703125
2022-09-15,31.989999771118164
2022-09-16,31.649999618530273
2022-09-19,31.719999313354492
2022-09-20,31.040000915527344
2022-09-21,30.780000686645508
2022-09-22,30.0
2022-09-23,29.850000381469727
2022-09-26,29.459999084472656
2022-09-27,29.8700008392334
2022-09-28,30.84000015258789
2022-09-29,30.600000381469727
2022-09-30,29.40999984741211
2022-10-03,30.969999313354492
2022-10-04,31.510000228881836
2022-10-05,32.029998779296875
