Date,TXRH
2022-11-25,99.19999694824219
2022-11-28,98.22000122070312
2022-11-29,97.66999816894531
2022-11-30,99.31999969482422
2022-12-01,100.27999877929688
2022-12-02,98.2300033569336
2022-12-05,96.62000274658203
2022-12-06,95.56999969482422
2022-12-07,97.20999908447266
2022-12-08,98.80999755859375
2022-12-09,97.94999694824219
2022-12-12,98.0199966430664
2022-12-13,98.04000091552734
2022-12-14,100.04000091552734
2022-12-15,99.0199966430664
2022-12-16,96.69000244140625
2022-12-19,95.12000274658203
2022-12-20,96.12999725341797
2022-12-21,95.13999938964844
2022-12-22,95.7300033569336
2022-12-23,96.30999755859375
2022-12-27,94.16999816894531
2022-12-28,92.30000305175781
2022-12-29,92.87999725341797
2022-12-30,90.94999694824219
2023-01-03,93.19999694824219
