Date,TCOM
2022-11-25,25.950000762939453
2022-11-28,28.110000610351562
2022-11-29,29.200000762939453
2022-11-30,31.950000762939453
2022-12-01,31.8700008392334
2022-12-02,32.2599983215332
2022-12-05,32.70000076293945
2022-12-06,33.11000061035156
2022-12-07,32.27000045776367
2022-12-08,33.70000076293945
2022-12-09,32.40999984741211
2022-12-12,33.150001525878906
2022-12-13,33.31999969482422
2022-12-14,34.40999984741211
2022-12-15,34.630001068115234
2022-12-16,34.81999969482422
2022-12-19,34.52000045776367
2022-12-20,34.5
2022-12-21,34.959999084472656
2022-12-22,34.81999969482422
2022-12-23,33.9900016784668
2022-12-27,35.459999084472656
2022-12-28,34.54999923706055
2022-12-29,34.72999954223633
2022-12-30,34.400001525878906
2023-01-03,35.689998626708984
2023-01-04,38.130001068115234
