Date,CELH
2022-11-23,34.63999938964844
2022-11-25,36.413333892822266
2022-11-28,35.939998626708984
2022-11-29,34.2599983215332
2022-11-30,37.11333465576172
2022-12-01,37.793331146240234
2022-12-02,39.19333267211914
2022-12-05,37.80666732788086
2022-12-06,37.98666763305664
2022-12-07,37.119998931884766
2022-12-08,39.40999984741211
2022-12-09,37.913333892822266
2022-12-12,38.426666259765625
2022-12-13,38.56666564941406
2022-12-14,38.68000030517578
2022-12-15,35.71333312988281
2022-12-16,36.266666412353516
2022-12-19,35.279998779296875
2022-12-20,35.426666259765625
2022-12-21,35.959999084472656
2022-12-22,35.233333587646484
2022-12-23,35.5966682434082
2022-12-27,35.0099983215332
2022-12-28,34.503334045410156
2022-12-29,34.46333312988281
2022-12-30,34.68000030517578
