Date,RUSHA
2022-11-23,34.66666793823242
2022-11-25,34.586666107177734
2022-11-28,34.00666809082031
2022-11-29,33.69333267211914
2022-11-30,34.35333251953125
2022-12-01,34.66666793823242
2022-12-02,34.79999923706055
2022-12-05,35.7599983215332
2022-12-06,35.880001068115234
2022-12-07,35.560001373291016
2022-12-08,34.77333450317383
2022-12-09,33.18000030517578
2022-12-12,33.119998931884766
2022-12-13,33.413333892822266
2022-12-14,33.96666717529297
2022-12-15,33.30666732788086
2022-12-16,33.279998779296875
2022-12-19,33.71333312988281
2022-12-20,33.526668548583984
2022-12-21,34.426666259765625
2022-12-22,34.11333465576172
2022-12-23,34.720001220703125
2022-12-27,34.720001220703125
2022-12-28,34.026668548583984
2022-12-29,34.866668701171875
2022-12-30,34.85333251953125
