Date,ZG
2022-11-23,35.040000915527344
2022-11-25,34.81999969482422
2022-11-28,34.790000915527344
2022-11-29,34.810001373291016
2022-11-30,37.400001525878906
2022-12-01,37.91999816894531
2022-12-02,38.189998626708984
2022-12-05,37.060001373291016
2022-12-06,36.36000061035156
2022-12-07,35.04999923706055
2022-12-08,33.959999084472656
2022-12-09,34.04999923706055
2022-12-12,34.45000076293945
2022-12-13,37.06999969482422
2022-12-14,37.13999938964844
2022-12-15,35.380001068115234
2022-12-16,35.02000045776367
2022-12-19,33.47999954223633
2022-12-20,32.66999816894531
2022-12-21,33.04999923706055
2022-12-22,32.439998626708984
2022-12-23,32.119998931884766
2022-12-27,31.540000915527344
2022-12-28,30.389999389648438
2022-12-29,31.100000381469727
2022-12-30,31.209999084472656
2023-01-03,32.81999969482422
